asset,source,ethnicity,gender,head_id,frame,dist_interocular_inner,dist_interocular_outer,dist_eye_width_left,dist_eye_width_right,dist_eye_to_nose_tip_left,dist_eye_to_nose_tip_right,dist_eye_to_mouth_left,dist_eye_to_mouth_right,dist_nose_width,dist_nose_length,dist_mouth_width,dist_lip_height,dist_jaw_width,dist_cheekbone_width,dist_face_height,dist_chin_to_mouth,dist_brow_width_left,dist_brow_width_right,dist_brow_span,ratio_interocular_outer,ratio_eye_width_left,ratio_eye_width_right,ratio_eye_to_nose_tip_left,ratio_eye_to_nose_tip_right,ratio_eye_to_mouth_left,ratio_eye_to_mouth_right,ratio_nose_width,ratio_nose_length,ratio_mouth_width,ratio_lip_height,ratio_jaw_width,ratio_cheekbone_width,ratio_face_height,ratio_chin_to_mouth,ratio_brow_width_left,ratio_brow_width_right,ratio_brow_span
auth_african_f_9601_subdiv__fbx_backup_head.glb,pca_gnm_variation_001_bad,african,female,9601,9601,0.047881435208129416,0.16247399009866137,0.060786530293988374,0.06079119524681824,0.08519372652843567,0.08523201517577689,0.08461437661055575,0.08457603693151662,0.0359531309191127,0.033591280442577955,0.06321672081941036,0.015690154228160426,0.07074298872734,0.18441326174661005,0.17805810551004247,0.0648892014027364,0.0862689843003445,0.08628870111586645,0.17548776439002958,3.3932564759687107,1.2695218936058104,1.2696193207779405,1.7792642630305135,1.7800639184120781,1.7671645856636673,1.7663638644891144,0.7508783051893252,0.701551244163098,1.3202762311660468,0.32768763425655456,1.4774617431544554,3.851456434942033,3.7187294978954886,1.355205856313166,1.8017209368381164,1.8021327209760865,3.66504812621479
auth_african_f_9602_subdiv__fbx_backup_head.glb,pca_gnm_variation_001_bad,african,female,9602,9602,0.04982629275501729,0.1645630058177169,0.06095090558243345,0.060943794118322334,0.08657924232300016,0.08658535289489422,0.08504332848609618,0.08504006491404485,0.03624693347906284,0.03389338730014632,0.06551287883049009,0.016737826386090685,0.0672103095451582,0.18302530798403385,0.17586444961067318,0.06260519371423444,0.08624144152459473,0.08627072650715237,0.17667164665543178,3.302734293856252,1.2232679216596132,1.2231251965296084,1.7376215956641086,1.737744233162429,1.7067962271291532,1.7067307281351307,0.7274659918465022,0.6802309669473333,1.3148254708131628,0.33592357489621294,1.3488924386892183,3.673267623660482,3.529551164389295,1.2564690297559888,1.730842026490333,1.7314297680407957,3.5457513872059385
auth_african_f_9605_subdiv_african_head.glb,pca_gnm_variation_001_bad,african,female,9605,9605,0.046516686012906795,0.1436443541400009,0.05454346706242343,0.0546053925285815,0.08721746158815329,0.08700736295537087,0.08903864046812594,0.08792906053876694,0.03993550530756211,0.034318332317122696,0.06511685737339323,0.022715108349090744,0.06314628788989149,0.16800639160728323,0.17296772870196234,0.05556079801307629,0.08029290785845695,0.0804106992647495,0.1623903346448995,3.0880177943059937,1.1725570271125823,1.1738882798622061,1.8749715223469148,1.8704548929222793,1.9141226106137645,1.8902692361697826,0.8585200006827952,0.7377639135255794,1.399860199742637,0.48832172487068565,1.3574975627535149,3.611744644935952,3.718401793583698,1.1944272641791391,1.726109805762569,1.7286420456186038,3.4910125497728215
auth_african_f_9606_subdiv__fbx_backup_head.glb,pca_gnm_variation_001_bad,african,female,9606,9606,0.04555735017346675,0.14725980943628403,0.05617541884029812,0.05617877549406191,0.08765186233141649,0.08740734051123349,0.0861365111240836,0.08562315668354539,0.04015341716922621,0.035201812537188334,0.06209468857323284,0.022127477517546804,0.06307646861884726,0.16803284759739578,0.17226197699802182,0.05688374777480271,0.08077035083276848,0.0808637849649251,0.16230263349864846,3.2324050647276286,1.2330703745147908,1.2331440542558427,1.9239894769486874,1.9186221362396263,1.8907269803029663,1.8794586681956216,0.8813817532480661,0.7726922747515366,1.3630004453024063,0.4857059823122496,1.3845508656380083,3.6883806226126934,3.7812115134463995,1.2486184459414107,1.7729378580014579,1.7749887703526122,3.5626003900722
auth_african_f_9607_subdiv_african_head.glb,pca_gnm_variation_001_bad,african,female,9607,9607,0.045341144246874306,0.1493797526143716,0.05717628997409655,0.05717460162257053,0.08771798831443522,0.08745058949898736,0.08905030461978382,0.08764856610692841,0.03978573046670294,0.035271308561511824,0.06486860036602284,0.022446160375884806,0.06210600549489548,0.16819056161633222,0.17006378439190337,0.052746655007634376,0.08085005566347953,0.08091168906055145,0.16339247980539237,3.294573948134744,1.2610244166486408,1.2609871800161283,1.9346222900072105,1.928724802859733,1.9640065573758143,1.9330911815921068,0.8774752187566519,0.7779095377361,1.4306785027926308,0.49505059364337023,1.369749408103588,3.7094467819463293,3.7507607542045456,1.1633287135507302,1.7831498742789913,1.7845092002972396,3.603624975050254
auth_african_f_9608_subdiv__fbx_backup_head.glb,pca_gnm_variation_001_bad,african,female,9608,9608,0.047096277218310875,0.15465887760675273,0.057948676125687056,0.05794198238505463,0.08594019953029162,0.08589157326167807,0.08599326526481492,0.08546930600071555,0.03382870940387716,0.03319849410004116,0.06043401539292521,0.02052839068517551,0.06504624625010447,0.17095040872961034,0.1767018023125702,0.06170074898547697,0.0817468907502916,0.08185016751767739,0.16574062724317853,3.2838875329751516,1.2304300795808294,1.2302879507114626,1.8247769166960475,1.8237444302345773,1.8259036667845379,1.8147783869313001,0.7182883956425471,0.7049069705903144,1.2832015386861335,0.435881388034512,1.3811335012444403,3.6298072549807694,3.751927174487353,1.3100982207036935,1.735739968816658,1.7379328548256106,3.519187439697232
auth_african_f_9609_subdiv__fbx_backup_head.glb,pca_gnm_variation_001_bad,african,female,9609,9609,0.04348524635040514,0.1434051145434345,0.05617251994121176,0.056216085584854865,0.08551742900072695,0.08545967335314676,0.08515574779052486,0.08459461625779727,0.03656103303866271,0.03270547397762489,0.06067459976832475,0.021627155062818565,0.05976646053695581,0.16779668053393929,0.17160550868896887,0.05647926030618516,0.08061192375471231,0.08076363577952658,0.1633666853468256,3.2977877919299963,1.2917604165921532,1.2927622654328395,1.9665849035699485,1.9652567370668823,1.9582675720481801,1.945363620022567,0.8407686768991268,0.7521050637285899,1.3952916186654984,0.4973446600381757,1.374407771669413,3.8587036895647246,3.9462926645549534,1.2988143116650173,1.8537764074081478,1.8572652234445517,3.756830167878388
auth_african_f_9610_subdiv_african_head.glb,pca_gnm_variation_001_bad,african,female,9610,9610,0.04206780322402542,0.14439347048715204,0.05806580441514094,0.058024645417258526,0.08590592150616916,0.08587457119645664,0.08530154589858213,0.08495121373475062,0.03357466394588312,0.03233312631117402,0.0596844649001509,0.022981983853481946,0.05998511200455117,0.16674963395968637,0.16552611900582756,0.05233661820625643,0.08014526156870874,0.08032004032760083,0.16068206609563881,3.43239863793713,1.380290862965216,1.3793124663120029,2.0420824222432246,2.0413371893736696,2.027715719889681,2.019387921978155,0.7981083244847983,0.7685955489282167,1.4187682818213907,0.5463081523676203,1.4259150088040007,3.963830321057832,3.934745965325179,1.2441015264701623,1.905144919070479,1.909299610913106,3.8195972639681695
auth_african_f_9611_subdiv__fbx_backup_head.glb,pca_gnm_variation_001_bad,african,female,9611,9611,0.045043973659239636,0.1417898119742331,0.05599528357739592,0.05605437459541191,0.08781080873304228,0.08758203908175238,0.08630197667270692,0.08559000048279443,0.03978095712492546,0.032931472554299374,0.0649107224019443,0.022371776434102195,0.05838715878658569,0.16844270470149014,0.1671632709552679,0.05253816684819015,0.08015199343306352,0.08027351602358211,0.16153026454580807,3.14780869571769,1.243124862850769,1.2444367146528106,1.9494463209959298,1.9443675139390624,1.9159494525413445,1.9001432051774099,0.8831582538847657,0.7310960796538054,1.441052312413594,0.4966652499032618,1.296225755487028,3.7395169879054038,3.7111128831543163,1.166375045986052,1.779416577218923,1.7821144428965365,3.5860571664434895
auth_african_f_9612_subdiv__fbx_backup_head.glb,pca_gnm_variation_001_bad,african,female,9612,9612,0.042725135837594956,0.14622725918813706,0.05779962629026249,0.05780962291530109,0.0848803042513494,0.08491512006230903,0.08387118348244253,0.08362978348815002,0.031213627005454544,0.03196221282580175,0.056745903750770044,0.02199116425558635,0.06099527071965019,0.16884091614819607,0.17113017001760877,0.05777934315852683,0.08127988460196424,0.08142951648117819,0.16287971207076993,3.4225112763589602,1.3528248689475926,1.3530588442139697,1.9866596697080836,1.9874745485909027,1.9630407683488766,1.9573906986753686,0.7305682332784735,0.7480892032103821,1.3281620441528907,0.5147125649682722,1.4276202877739916,3.9517935481817372,4.005374509939577,1.3523501336111676,1.9023903144725396,1.9058925123305575,3.812269028000324
